Month,Actual Revenue,Predicted Revenue
2025-02,59066.900200000004,52021.41857196133
2025-03,75521.2612,66013.42271987807
2025-04,68000.3,73585.67762015073
2025-05,82840.3864,65326.49448606818
2025-06,75902.164,58986.05538365477
2025-07,31109.796,58226.06848367667
