Model,MAE,MAPE
SARIMAX (revenue),13947.495123710842,0.2722048876208118
Regression (forecasted Orders & AOV),17596.155387956966,0.3058911198273464
Regression (true Orders & AOV) — upper bound,1588.3028100883123,0.029820388820783455
